,transaction_id,player_id,table_id,buy_in,cash_out,drink_money,tip,time_in,time_out,bonus
0,0,13,0,60,149,0,0,2022-10-29 17:00:00,2022-10-29 19:00:00,
1,1,92,0,200,692,15,5,2022-10-29 17:00:00,2022-10-29 19:00:00,
2,2,13,1,100,0,0,0,2022-11-27 11:15:00,2022-11-27 11:30:00,
3,3,92,1,100,282,0,12,2022-11-27 11:15:00,2022-11-27 13:15:00,
4,4,13,1,100,101,0,0,2022-11-27 11:30:00,2022-11-27 13:15:00,
5,5,13,1,100,42,0,0,2022-12-18 15:45:00,2022-12-18 17:45:00,0.0
6,6,92,1,100,53,0,4,2022-12-18 15:45:00,2022-12-18 17:45:00,300.0
7,7,92,2,300,661,2,15,2022-12-22 23:00:00,2022-12-23 1:00:00,0.0
8,8,13,3,100,0,0,0,2023-01-21 18:30:00,2023-01-21 20:00:00,0.0
9,9,13,3,100,53,2,0,2023-01-21 20:00:00,2023-01-21 21:30:00,0.0
10,10,92,3,300,0,17,5,2023-01-21 18:30:00,2023-01-21 20:00:00,0.0
11,11,92,3,300,596,7,5,2023-01-21 20:00:00,2023-01-21 21:30:00,0.0
12,12,92,4,300,0,0,5,2023-01-25 21:30:00,2023-01-25 22:30:00,0.0
13,13,92,4,300,503,0,5,2023-01-25 22:30:00,2023-01-25 23:20:00,0.0
14,14,13,0,60,220,0,4,2023-01-28 14:30:00,2023-01-28 17:00:00,0.0
15,15,92,0,600,692,0,10,2023-01-28 14:30:00,2023-01-28 17:00:00,0.0
16,16,13,5,50,107,0,5,2023-02-04 22:00:00,2023-02-05 1:00:00,0.0
17,17,92,5,240,290,0,10,2023-02-04 22:00:00,2023-02-05 1:00:00,0.0
18,18,13,6,60,0,0,5,2023-02-11 20:30:00,2023-02-11 23:30:00,0.0
19,19,92,6,300,323,0,10,2023-02-11 20:30:00,2023-02-11 23:30:00,0.0
20,20,13,1,100,660,0,5,2023-02-20 17:45:00,2023-02-20 19:45:00,0.0
21,21,92,1,300,213,0,6,2023-02-20 17:45:00,2023-02-20 19:45:00,0.0
22,22,13,7,100,142,0,5,2023-02-26 14:00:00,2023-02-26 17:30:00,0.0
23,23,92,7,300,968,15,15,2023-02-26 14:00:00,2023-02-26 17:30:00,0.0
24,24,13,3,150,155,0,5,2023-03-03 20:00:00,2023-03-03 23:00:00,0.0
25,25,92,3,300,1245,0,20,2023-03-03 20:00:00,2023-03-03 23:00:00,0.0
26,26,13,8,100,0,0,0,2023-03-12 14:30:00,2023-03-12 14:45:00,0.0
27,27,13,8,100,0,0,2,2023-03-12 14:45:00,2023-03-12 15:30:00,0.0
28,28,13,8,100,110,0,5,2023-03-12 15:30:00,2023-03-12 16:30:00,0.0
29,29,92,8,400,402,0,10,2023-03-12 14:30:00,2023-03-12 16:30:00,0.0
30,30,13,6,200,53,0,5,2023-03-17 10:00:00,2023-03-17 12:00:00,0.0
31,31,92,6,300,338,0,10,2023-03-17 10:00:00,2023-03-17 12:00:00,0.0
32,32,13,1,100,0,0,0,2023-04-29 20:00:00,2023-04-29 21:00:00,0.0
33,33,13,1,100,132,0,10,2023-04-29 21:00:00,2023-04-29 22:00:00,0.0
34,34,92,1,300,900,0,15,2023-04-29 20:00:00,2023-04-29 22:00:00,0.0
35,35,13,1,100,138,0,10,2023-05-07 14:30:00,2023-05-07 17:00:00,0.0
36,36,92,1,300,336,0,10,2023-05-07 14:30:00,2023-05-07 17:00:00,0.0
37,37,13,9,100,91,0,5,2023-05-14 13:00:00,2023-05-14 14:00:00,0.0
38,38,92,9,300,0,0,2,2023-05-14 13:00:00,2023-05-14 14:00:00,0.0
39,39,13,10,100,128,0,7,2023-05-20 14:15:00,2023-05-20 17:00:00,0.0
40,40,92,10,300,0,0,9,2023-05-20 14:15:00,2023-05-20 16:30:00,0.0
41,41,92,10,300,794,0,6,2023-05-20 16:30:00,2023-05-20 17:00:00,0.0
42,42,13,5,100,200,0,NULL,2023-07-03 21:30:00,2023-07-04 1:00:00,0.0
43,43,92,5,200,219,0,NULL,2023-07-03 21:30:00,2023-07-04 1:00:00,0.0
44,44,13,11,100,300,0,NULL,2023-06-24 21:00:00,2023-06-25 00:00:00,0.0
45,45,92,11,300,300,0,NULL,2023-06-24 21:00:00,2023-06-25 00:00:00,0.0
46,46,13,12,100,379,20,NULL,2023-07-15 18:00:00,2023-07-15 20:30:00,0.0
47,47,92,12,800,373,0,NULL,2023-07-15 18:00:00,2023-07-15 20:30:00,0.0
